id;name;link;specialization;films_years;description;path_to_folder
932;Алексей Мясников;https://www.kinopoisk.ru/name/1053232;Актер дубляжа,Актер;360, 1972 — 2024;Диверсант,Внутри убийцы,Дальнобойщики,Между нами, девочками. Продолжение;actors_ussr_russia/932
7433;Константин Сидорков;https://www.kinopoisk.ru/name/5480500;Актер;3, 2005 — 2023;;actors_ussr_russia/7433
35669;Алексей Голубев;https://www.kinopoisk.ru/name/2766587;Режиссер,Продюсер,Сценарист,Актер;7, 2009 — 2021;;actors_ussr_russia/35669
2565;Василиса Немцова;https://www.kinopoisk.ru/name/3718889;Актриса;44, 2011 — 2024;Сокровища партизанского леса,Балканский рубеж,Домовой,Баба Яга спасает мир,Ученица Мессинга,Семья,Эпидемия,Балканский рубеж,Скорая помощь;actors_ussr_russia/2565
26800;Богдан Юсипчук;https://www.kinopoisk.ru/name/2727827;Актер;27, 2007 — 2022;Страсти по Чапаю,Стажер,Замуж после всех;actors_ussr_russia/26800
31403;Ион Аракелов;https://www.kinopoisk.ru/name/266201;Актер;54, 1969 — 2010;Ермак,На тебя уповаю,Камышовый рай,Ермак,Громовы. Дом надежды,Путейцы;actors_ussr_russia/31403
18831;Маргарита Комиссарова;https://www.kinopoisk.ru/name/5038261;Сценарист,Актриса;2, 2017 — 2021;;actors_ussr_russia/18831
39543;Саша К. Гордон;https://www.kinopoisk.ru/name/3417119;Актриса,Продюсер,Сценарист;10, 2015 — 2023;;actors_ussr_russia/39543
5817;Николай Боголюбов;https://www.kinopoisk.ru/name/343839;Актер,Актер дубляжа;50, 1931 — 1970;Аленка,Окраина,Александр Пархоменко,Парень из нашего города,Освобождение: Огненная дуга;actors_ussr_russia/5817
7434;Инга Алейникова;https://www.kinopoisk.ru/name/2364819;Актриса;7, 2003 — 2010;;actors_ussr_russia/7434
35677;Константин Стогний;https://www.kinopoisk.ru/name/1802596;Актер,Сценарист,Продюсер;4, 2003 — 2011;;actors_ussr_russia/35677
43184;Юлия Сахневич;https://www.kinopoisk.ru/name/6580747;Актриса;1, 2019 — 2019;Папик;actors_ussr_russia/43184
